Month_Number,Month,Zone,Matches
1,Jan,Australia,2
2,Feb,South America,3
2,Feb,Europe,2
3,Mar,North America,2
4,Apr,Europe,8
5,May,Europe,8
6,Jun,Europe,4
7,Jul,Europe,3
8,Aug,North America,6
9,Sep,Europe,4
9,Sep,North America,1
10,Oct,Europe,11
11,Nov,Europe,5
